,property_type,place_name,state_name,lat,lon,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_per_m2,rooms,terraza,patio,parrilla,salon,laundry,pileta,cochera,estado_nuevo,estado_a_reciclar
0,PH,Mataderos,Capital Federal,-34.6618237,-58.5088387,62000.0,55.0,40.0,1127.2727272727273,2.0,0,1,0,0,1,0,0,1,0
2,apartment,Mataderos,Capital Federal,-34.6522615,-58.5229825,72000.0,55.0,55.0,1309.090909090909,2.0,0,0,0,0,1,0,0,0,0
7,apartment,Belgrano,Capital Federal,-34.5598729,-58.443362,138000.0,45.0,40.0,3066.6666666666665,1.0,0,0,0,0,1,1,0,1,0
8,apartment,Belgrano,Capital Federal,-34.5598729,-58.443362,195000.0,65.0,60.0,3000.0,3.0,0,0,0,0,1,1,0,1,0
13,apartment,Palermo Soho,Capital Federal,-34.580503566,-58.4058744847,111700.0,50.0,30.0,2234.0,1.0,1,0,0,0,0,1,0,0,0
14,apartment,Palermo Soho,Capital Federal,-34.580503566,-58.4058744847,147900.0,42.0,31.0,3521.4285714285716,1.0,0,0,0,0,0,1,0,0,0
16,PH,Mataderos,Capital Federal,-34.6523561177,-58.5016239381,239000.0,140.0,98.0,1707.142857142857,4.0,0,0,1,0,0,0,0,0,0
19,apartment,Palermo,Capital Federal,-34.580503566,-58.4058744847,350000.0,104.0,96.0,3365.3846153846152,3.0,1,0,0,0,0,0,0,1,0
21,apartment,Palermo,Capital Federal,-34.590926,-58.4116653,270500.0,118.0,73.0,2292.3728813559323,4.0,0,1,0,0,0,0,0,0,0
29,apartment,Flores,Capital Federal,-34.635117947800005,-58.4739639408,75000.0,43.0,43.0,1744.1860465116279,2.0,0,0,0,0,0,0,0,0,0
35,apartment,Boedo,Capital Federal,-34.6217693287,-58.4221081951,145000.0,80.0,77.0,1812.5,4.0,0,0,0,0,0,0,0,1,0
38,apartment,Las Cañitas,Capital Federal,-34.571149600000005,-58.4232966,480000.0,220.0,130.0,2181.818181818182,3.0,1,0,1,0,0,1,1,0,0
47,house,Puerto Madero,Capital Federal,-34.6177194,-58.3620561,70000.0,80.0,50.0,875.0,4.0,0,0,0,0,0,0,0,0,0
48,apartment,Balvanera,Capital Federal,-34.60967479999999,-58.3986588,240000.0,141.0,124.0,1702.127659574468,5.0,1,0,0,0,0,0,1,0,0
51,house,Boedo,Capital Federal,-34.636320899999994,-58.4107019,550000.0,504.0,324.0,1091.2698412698412,6.0,1,1,1,0,1,1,1,1,0
52,apartment,Caballito,Capital Federal,-34.6222111,-58.43912829999999,110000.0,50.0,50.0,2200.0,3.0,0,0,0,0,1,0,0,0,0
53,apartment,Caballito,Capital Federal,-34.623894314299996,-58.4468606529,170500.0,100.0,46.0,1705.0,2.0,0,0,0,0,0,0,0,0,0
54,apartment,Caballito,Capital Federal,-34.6209278,-58.44587360000001,220410.0,81.0,75.0,2721.1111111111113,3.0,0,0,0,0,0,0,1,0,0
55,apartment,Caballito,Capital Federal,-34.6209278,-58.44587360000001,222780.0,81.0,75.0,2750.3703703703704,3.0,0,0,0,0,0,0,1,0,0
57,store,Belgrano,Capital Federal,-34.5639725,-58.456535,250000.0,30.0,30.0,8333.333333333334,4.0,0,0,0,0,0,0,0,0,0
59,apartment,Caballito,Capital Federal,-34.6287865,-58.42778320000001,108000.0,70.0,67.0,1542.857142857143,3.0,0,0,0,0,1,0,0,0,1
60,apartment,Nuñez,Capital Federal,-34.553577600000004,-58.45551139999999,173000.0,50.0,50.0,3460.0,2.0,1,0,0,1,0,1,1,0,0
66,apartment,Boedo,Capital Federal,-34.6187769485,-58.4026450688,72900.0,38.0,38.0,1918.421052631579,1.0,0,0,0,0,0,0,0,1,0
98,apartment,Almagro,Capital Federal,-34.56910735,-58.40848979999999,109900.0,50.0,40.0,2198.0,2.0,1,1,1,1,0,1,1,1,0
108,house,Capital Federal,Capital Federal,-34.6108622,-58.4117063,170000.0,180.0,165.0,944.4444444444445,4.0,0,1,1,0,1,0,1,0,0
110,house,Capital Federal,Capital Federal,-34.6108622,-58.4117063,490000.0,744.0,350.0,658.6021505376344,4.0,0,0,1,0,0,1,1,0,0
115,house,Capital Federal,Capital Federal,-34.6108622,-58.4117063,440000.0,720.0,261.0,611.1111111111111,4.0,0,0,1,0,1,1,1,0,0
119,house,Capital Federal,Capital Federal,-34.6108622,-58.4117063,320000.0,200.0,185.0,1600.0,4.0,0,1,0,0,1,1,1,0,0
120,apartment,Belgrano,Capital Federal,-34.5626966465,-58.4601567114,178000.0,55.0,55.0,3236.3636363636365,3.0,0,0,0,0,1,0,1,0,0
121,house,Capital Federal,Capital Federal,-34.6108622,-58.4117063,370000.0,340.0,240.0,1088.235294117647,4.0,0,0,0,0,1,1,1,0,0
